Gemiddelde energietarieven voor consumenten, 2018 - 2023;;;;
;;;;
;;;;
Onderwerp;Aardgas|Variabel leveringstarief;Aardgas|Variabel leveringstarief;Elektriciteit|Variabel leveringstarief;Elektriciteit|Variabel leveringstarief
Btw;Inclusief btw;Exclusief btw;Inclusief btw;Exclusief btw
Perioden;Euro/m3;Euro/m3;Euro/kWh;Euro/kWh
2018 1e kwartaal;0,3182;0,262975207;0,0671;0,055454545
2018 2e kwartaal;0,3127;0,258429752;0,0667;0,055123967
2018 3e kwartaal;0,3367;0,278264463;0,0722;0,059669421
2018 4e kwartaal;0,3479;0,287520661;0,0766;0,063305785
2019 1e kwartaal;0,3827;0,316280992;0,0865;0,071487603
2019 2e kwartaal;0,363;0,3;0,082;0,067768595
2019 3e kwartaal;0,3429;0,28338843;0,0785;0,064876033
2019 4e kwartaal;0,3297;0,272479339;0,0769;0,063553719
2020 1e kwartaal;0,3227;0,266694215;0,0768;0,063471074
2020 2e kwartaal;0,2942;0,243140496;0,0707;0,058429752
2020 3e kwartaal;0,2616;0,216198347;0,0675;0,055785124
2020 4e kwartaal;0,2649;0,21892562;0,0692;0,057190083
2021 1e kwartaal;0,266;0,219834711;0,0697;0,057603306
2021 2e kwartaal;0,289;0,238842975;0,0768;0,063471074
2021 3e kwartaal;0,3429;0,28338843;0,0928;0,076694215
2021 4e kwartaal;0,5278;0,436198347;0,127;0,104958678
2022 1e kwartaal;1,1956;0,988099174;0,3169;0,261900826
2022 2e kwartaal;1,6844;1,392066116;0,4363;0,360578512
2022 3e kwartaal;1,5908;1,314710744;0,4187;0,346033058
2022 4e kwartaal;2,783;2,3;0,6588;0,54446281
2023 1e kwartaal;.;.;.;.
2023 2e kwartaal;.;.;.;.
